ID|English_Text|English_StageDir
QUEST_PANKRATZI7_2015-02-09_09-27-14_00|Follow Duras to the Ruins|
QUEST_IKENI7_2016-06-15_10-33-23_00|Cleric Research|
QUEST_IKENI7_2015-06-09_12-59-48_00|Deadly Separation|
QUEST_PANKRATZI7_2015-05-12_14-01-20_00|Defense of the Camp|
QUEST_PANKRATZI7_2015-12-10_13-05-49_00|A Cleric on the Run|
QUEST_IKENI7_2015-10-01_11-12-18_00|A Fair Trade|
QUEST_WEIDMANNX6_2016-02-01_10-31-43_00|In the Service of Calaan|
QUEST_IKENI7_2015-01-16_12-28-08_00|Save Korin|
QUEST_WEIDMANNX6_2015-04-14_10-05-08_00|Greetings|
QUEST_IKENI7_2016-02-01_12-42-12_00|Divine Mission|
QUEST_IKENI7_2015-10-14_08-30-34_00|Served|
QUEST_IKENI7_2015-01-20_14-20-07_00|Kill the Intruders|
QUEST_WEIDMANNX6_2015-04-09_08-36-40_00|Fat Loot|
QUEST_IKENI7_2015-10-15_12-17-50_00|Neighbor Troubles|
QUEST_PANKRATZI7_2015-05-12_15-35-09_00|Heavy Suspicion|
QUEST_PANKRATZI7_2016-05-23_09-46-08_00|Main Missions|
QUEST_GARTMANNI3_2016-03-01_12-25-13_00|An Energy Amplifier|
QUEST_WEIDMANNX6_2015-02-16_14-03-58_00|House Ban|
QUEST_PANKRATZI7_2015-12-16_15-43-32_00|Collective Consciousness|
QUEST_PANKRATZI7_2015-12-16_15-43-00_00|Conclusion|
QUEST_IKENI7_2016-01-28_08-55-31_00|The Egoist|
QUEST_PANKRATZI7_2015-08-14_08-34-58_00|Measuring Strength with the Camp Master|
QUEST_IKENI7_2015-05-12_09-40-37_00|Life and Death|
QUEST_PANKRATZI7_2015-10-01_13-46-34_00|The Elex Experiment|
QUEST_IKENI7_2015-10-29_10-36-32_00|Hands Off|
QUEST_PANKRATZI7_2015-05-12_14-35-59_00|Elexetor on the Hunt|
QUEST_IKENI7_2015-09-30_10-35-35_00|Food for the Clerics|
QUEST_WEIDMANNX6_2015-09-22_08-58-40_00|Overrun by Reavers|
QUEST_IKENI7_2015-03-23_08-28-34_00|Serious Loss|
QUEST_PANKRATZI7_2015-09-04_15-33-37_00|Subversive Elements|
QUEST_WEIDMANNX6_2015-05-19_13-13-01_00|The Brother|
QUEST_IKENI7_2015-04-29_06-32-22_00|Mastered Challenge|
QUEST_IKENI7_2015-03-24_07-27-53_00|Mechanics in Trouble|
QUEST_WEIDMANNX6_2015-10-27_10-10-25_00|AI Gone Awry|
QUEST_PANKRATZI7_2015-02-10_14-58-55_00|Enter the Domed City in Abessa|
QUEST_PANKRATZI7_2015-02-10_14-58-32_00|Enter Abessa|
QUEST_PANKRATZI7_2015-02-10_14-58-20_00|Enter the Fort of Tavar|
QUEST_PANKRATZI7_2015-02-10_15-00-16_00|Enter the Ice Palace Xacor|
QUEST_WEIDMANNX6_2015-04-21_08-29-19_00|Grenade Delivery|
QUEST_PANKRATZI7_2015-03-19_14-38-13_00|The Direct Path|
QUEST_IKENI7_2016-01-28_10-40-41_00|Food for Anna|
QUEST_PANKRATZI7_2016-01-25_13-02-23_00|Gas Umbel|
QUEST_PANKRATZI7_2015-09-07_15-57-08_00|Defective Reactor|
QUEST_PANKRATZI7_2015-04-23_11-47-53_00|Operating Instructions: Converter|
QUEST_PANKRATZI7_2015-04-20_11-16-03_00|Alb Sentinels at the Converter in Edan|
QUEST_PANKRATZI7_2016-01-15_15-47-00_00|A Relentless Opponent|
QUEST_WEIDMANNX6_2015-08-31_12-40-20_00|Vacancy|
QUEST_PANKRATZI7_2015-11-24_13-58-36_00|Leo, the Brave|
QUEST_IKENI7_2015-05-06_13-52-40_00|Heavy Loss|
QUEST_PANKRATZI7_2015-11-24_14-00-56_00|Bomby, the Defiant|
QUEST_IKENI7_2016-02-01_13-52-55_00|Recruited Galar|
QUEST_WEIDMANNX6_2016-01-06_10-05-08_00|Speak to Born|
QUEST_WEIDMANNX6_2015-09-15_11-37-45_00|The Occupied Outpost|
QUEST_IKENI7_2015-10-02_11-21-59_00|A Light in the Darkness|
QUEST_PANKRATZI7_2015-02-10_14-41-16_00|Enter Edan|
QUEST_IKENI7_2016-06-14_08-01-21_00|Compromising Recording|
QUEST_WEIDMANNX6_2015-02-24_13-28-09_00|The Dead Guard|
QUEST_IKENI7_2015-04-16_10-31-48_00|Paid Off|
QUEST_GARTMANNI3_2016-02-01_13-59-39_00|New Weapon Systems|
QUEST_IKENI7_2016-03-11_15-44-36_00|Secrets of the Past|
QUEST_IKENI7_2017-01-13_13-09-18_00|Xacor|
QUEST_IKENI7_2015-11-06_11-20-36_00|The Hungry Desert|
QUEST_WEIDMANNX6_2016-01-27_14-26-28_00|Artists of Persuasion|
QUEST_IKENI7_2015-04-20_07-48-31_00|Drug Big Jim|
QUEST_PANKRATZI7_2015-09-24_11-52-53_00|Advance to the Next Alb Position in Ignadon|
QUEST_PANKRATZI7_2015-09-24_11-52-36_00|Destroy the First Alb Position in Ignadon|
QUEST_GARTMANNI3_2015-02-27_10-57-54_00|The Main Entrance|
QUEST_PANKRATZI7_2015-12-14_16-14-56_00|Death of a Friendly Jackal|
QUEST_IKENI7_2015-03-11_09-17-38_00|Hunting Loss|
QUEST_IKENI7_2016-06-14_07-42-56_00|Climbing Back Down into the Sewers|
QUEST_IKENI7_2017-02-27_13-38-19_00|Drog's chest filled|
QUEST_IKENI7_2016-06-14_07-42-11_00|Back to the Sewers|
QUEST_PANKRATZI7_2015-02-23_13-54-48_00|Eye for an Eye|
QUEST_PANKRATZI7_2015-05-12_13-52-22_00|Zardom's Battle Plan|
QUEST_IKENI7_2015-04-23_09-55-51_00|Ike Is Ready|
QUEST_WEIDMANNX6_2015-10-09_08-48-39_00|Nightly Business|
QUEST_IKENI7_2015-09-14_11-08-46_00|Back to the Roots|
QUEST_WEIDMANNX6_2015-05-22_11-16-22_00|Sticky Fingers|
QUEST_PANKRATZI7_2015-05-12_15-38-21_00|Blackmail|
QUEST_WEIDMANNX6_2015-01-16_07-18-54_00|Orik's Replacement|
QUEST_IKENI7_2016-02-25_09-44-09_00|Eli's Time Is Over|
QUEST_IKENI7_2015-02-04_14-51-25_00|Making Things Right|
QUEST_IKENI7_2015-02-19_13-21-54_00|Katta's Journal|
QUEST_WEIDMANNX6_2015-01-22_13-37-59_00|The Laws|
QUEST_PANKRATZI7_2015-02-11_10-40-05_00|Circumstantial Evidence|
QUEST_IKENI7_2015-09-30_10-38-48_00|Nutritious and Good|
QUEST_PANKRATZI7_2015-11-24_13-27-47_00|Contract on an Outlaw|
QUEST_WEIDMANNX6_2015-09-01_13-28-57_00|Cold Technology|
QUEST_IKENI7_2015-10-27_08-39-37_00|The Way to Calaan|
QUEST_IKENI7_2015-05-12_09-36-51_00|Freedom for Frank|
QUEST_IKENI7_2015-05-12_09-36-11_00|The Ransom Money|
QUEST_GARTMANNI3_2016-02-01_13-28-45_00|Maintenance Protocol|
QUEST_IKENI7_2015-09-18_09-53-07_00|The Middleman|
QUEST_PANKRATZI7_2016-03-03_09-51-50_00|William's Concerns|
QUEST_PANKRATZI7_2016-03-03_09-51-36_00|Ragnar's Task|
QUEST_IKENI7_2015-02-27_09-10-55_00|Killed Argor|
QUEST_PANKRATZI7_2016-03-03_09-51-19_00|Nasty's Style|
QUEST_PANKRATZI7_2015-05-12_14-21-33_00|Invasion of Abessa|
QUEST_IKENI7_2016-01-22_08-20-41_00|Erin Is Ready|
QUEST_WEIDMANNX6_2016-01-13_09-46-18_00|Contract Work|
QUEST_PANKRATZI7_2016-03-03_09-51-05_00|Arx's Tale|
QUEST_IKENI7_2015-02-27_09-10-25_00|Killed Eldur|
QUEST_PANKRATZI7_2016-03-15_15-02-55_00|Duras in the Battle|
QUEST_WEIDMANNX6_2016-01-06_11-49-03_00|Stubborn Plant|
QUEST_IKENI7_2017-01-13_13-19-31_00|Find the Bounty Hunter's Audiologs|
QUEST_IKENI7_2015-05-06_13-55-59_00|An Unlawful Owner|
QUEST_IKENI7_2016-03-10_08-43-34_00|An Educational Slap|
QUEST_IKENI7_2015-01-23_09-04-11_00|Dangerous Goods|
QUEST_IKENI7_2015-03-17_13-33-45_00|Follow Max to William|
QUEST_WEIDMANNX6_2015-07-22_11-36-25_00|Same Rights for All!|
QUEST_IKENI7_2015-06-17_10-36-41_00|No Half Measures|
QUEST_IKENI7_2015-01-27_14-53-20_00|Supplies for the Cultivators|
QUEST_PANKRATZI7_2015-02-09_12-32-14_00|Follow Duras into the Ruins|
QUEST_IKENI7_2015-09-22_06-38-20_00|Expropriation|
QUEST_IKENI7_2015-04-20_08-00-51_00|Defeat Big Jim|
QUEST_IKENI7_2015-03-30_11-08-32_00|Scrap Delivery|
QUEST_WEIDMANNX6_2015-04-16_13-33-57_00|Cocktail Party|
QUEST_IKENI7_2015-09-15_13-00-00_00|Explosive Equipment|
QUEST_PANKRATZI7_2015-04-27_12-15-36_00|The Converter in East Xacor|
QUEST_IKENI7_2015-03-12_07-33-49_00|On the Hunt with Geron|
QUEST_WEIDMANNX6_2015-07-27_08-15-31_00|Impervious|
QUEST_PANKRATZI7_2015-04-27_12-15-26_00|The Converter in West Xacor|
QUEST_PANKRATZI7_2015-04-27_12-15-19_00|The Converter in Ignadon|
QUEST_IKENI7_2016-01-09_09-07-28_00|Repel the Reavers' Attack|
QUEST_PANKRATZI7_2015-04-27_12-15-07_00|The Converter in Tavar|
QUEST_WEIDMANNX6_2015-10-23_12-00-24_00|The Supply Crate|
QUEST_WEIDMANNX6_2015-09-07_14-18-19_00|The Unexpected Happens|
QUEST_WEIDMANNX6_2015-05-18_13-41-43_00|The Ambushed Caravan|
QUEST_WEIDMANNX6_2015-05-18_13-41-01_00|The Crate of Goods|
QUEST_WEIDMANNX6_2015-02-13_12-40-32_00|Energy!|
QUEST_WEIDMANNX6_2015-02-13_12-40-12_00|A New Deal|
QUEST_IKENI7_2015-03-17_10-40-06_00|Follow Max to the Fort|
QUEST_IKENI7_2015-04-20_07-41-28_00|Defeat Ike|
QUEST_IKENI7_2015-02-03_08-02-30_00|Kill Stormson|
QUEST_IKENI7_2015-09-01_11-39-37_00|Wireless Network|
QUEST_PANKRATZI7_2015-02-11_10-50-57_00|Question Geron|
QUEST_PANKRATZI7_2015-02-11_10-50-49_00|Question Barin|
QUEST_IKENI7_2015-06-24_11-52-48_00|Convincing Arguments|
QUEST_WEIDMANNX6_2015-09-17_14-31-01_00|A Great Team|
QUEST_WEIDMANNX6_2016-01-07_12-58-23_00|For the Community|
QUEST_GARTMANNI3_2017-03-10_13-12-07_00|Propaganda 01|
QUEST_IKENI7_2015-01-22_14-58-08_00|False Teachings|
QUEST_WEIDMANNX6_2016-01-07_13-00-26_00|Holding Zerwas to Account - First Collection|
QUEST_WEIDMANNX6_2016-02-01_14-47-31_00|Renegade Clerics|
QUEST_WEIDMANNX6_2016-01-18_08-44-55_02|Protection Money for Rat|
QUEST_WEIDMANNX6_2016-01-18_08-44-55_01|Following Burns - Protection Payment 3|
QUEST_WEIDMANNX6_2016-01-18_08-44-55_00|Following Burns - Protection Payment 2|
QUEST_IKENI7_2015-02-27_08-37-10_00|The Messenger of Death|
QUEST_IKENI7_2015-09-11_09-50-54_00|Combative|
QUEST_IKENI7_2015-06-19_08-42-52_00|Delivery Problems|
QUEST_PANKRATZI7_2015-02-10_15-13-46_00|Companions|
QUEST_WEIDMANNFX8_2016-06-15_13-37-51_00|The Claws Are Gone|
QUEST_PANKRATZI7_2017-04-27_06-22-10_00|Use the elevator!|
QUEST_WEIDMANNX6_2016-01-29_09-18-13_00|An Acolyte's Pilgrimage|
QUEST_IKENI7_2016-03-11_08-52-29_00|The Road to Calaan - Clues and Indications|
QUEST_WEIDMANNX6_2015-04-21_08-32-48_00|Supply of Explosives|
QUEST_PANKRATZI7_2015-08-21_14-00-08_00|Before the City Gates|
QUEST_WEIDMANNX6_2015-09-01_13-21-49_00|Technically Proficient|
QUEST_IKENI7_2015-01-15_12-18-32_00|Healing, Stealing and Dealing|
QUEST_PANKRATZI7_2015-02-10_14-13-57_00|Enter the Berserker City - Goliet|
QUEST_GARTMANNI3_2015-02-27_10-36-42_00|Headless in Ignadon|
QUEST_WEIDMANNX6_2016-01-25_14-55-01_00|Recapture|
QUEST_IKENI7_2015-03-11_10-05-25_00|Waiting|
QUEST_WEIDMANNX6_2015-07-07_10-15-39_00|Locked Out|
QUEST_IKENI7_2016-03-10_08-53-18_00|Slap in the Face|
QUEST_IKENI7_2016-06-15_09-06-35_00|On Behalf of the Claws|
QUEST_IKENI7_2015-03-24_07-23-49_00|The Lift|
QUEST_WEIDMANNX6_2015-09-11_12-10-56_00|A Dead Giant|
QUEST_IKENI7_2015-04-20_08-10-27_00|Gunn - The Rematch|
QUEST_PANKRATZI7_2015-10-01_13-35-26_00|Save Caja|
QUEST_WEIDMANNX6_2015-11-02_14-50-03_00|Cause and Effect|
QUEST_IKENI7_2015-02-27_09-13-18_00|Killed Sinda|
QUEST_WEIDMANNX6_2015-05-07_12-39-58_00|Renewed Beast Attack|
QUEST_IKENI7_2015-03-23_08-17-47_00|Necessary for Survival|
QUEST_IKENI7_2016-01-15_13-02-27_00|Desecrated|
QUEST_IKENI7_2016-01-23_07-22-32_00|The First Con|
QUEST_PANKRATZI7_2015-02-10_14-06-48_00|Tooth for a Tooth|
QUEST_IKENI7_2015-01-23_09-07-02_00|Among False Friends|
QUEST_IKENI7_2016-02-03_10-22-43_00|Connor Is Ready|
QUEST_PANKRATZI7_2015-11-24_13-54-53_00|The Distributor|
QUEST_PANKRATZI7_2015-08-26_15-08-12_00|Where is Big Bang?|
QUEST_GARTMANNI3_2015-02-03_13-04-07_00|A Highly Sensitive Sensor Module|
QUEST_IKENI7_2015-10-07_13-32-43_00|The Pusher|
QUEST_WEIDMANNX6_2016-01-08_11-33-26_00|Betraying the Eisen Clan|
QUEST_WEIDMANNX6_2016-01-29_09-42-08_02|The Fourth Shrine|
QUEST_WEIDMANNX6_2016-01-29_09-42-08_01|The Third Shrine|
QUEST_WEIDMANNX6_2016-01-29_09-42-08_00|The Second Shrine|
QUEST_IKENI7_2015-03-16_12-44-30_00|Helped Max|
QUEST_IKENI7_2015-07-10_10-43-53_00|The Weapon Embargo|
QUEST_IKENI7_2016-02-11_14-30-12_00|Vengeance|
QUEST_IKENI7_2015-01-20_13-02-10_00|Speak to Angrim|
QUEST_PANKRATZI7_2015-06-19_12-20-21_00|Albs Are Albs|
QUEST_IKENI7_2016-01-28_10-39-43_00|Food for Xander|
QUEST_IKENI7_2016-01-08_11-10-08_00|Cormag's Solace|
QUEST_WEIDMANNX6_2015-01-20_09-30-30_00|Betrayed|
QUEST_IKENI7_2015-02-20_08-41-48_00|Exiled Unjustly|
QUEST_PANKRATZI7_2016-03-03_09-47-58_00|Thorald's Sacrifice|
QUEST_IKENI7_2015-01-26_11-30-25_00|Traveling Home|
QUEST_PANKRATZI7_2016-03-03_09-47-37_00|Kallax's Power|
QUEST_PANKRATZI7_2016-03-03_09-47-21_00|Zardom's Great Plan|
QUEST_PANKRATZI7_2016-01-25_12-49-41_00|It Is Written|
QUEST_IKENI7_2016-01-22_08-16-57_00|Defeat Smoke|
QUEST_IKENI7_2016-01-09_08-58-40_00|Alarming News|
QUEST_IKENI7_2016-03-11_08-38-14_00|The Road to Calaan - The First Clue|
QUEST_PANKRATZI7_2015-02-06_15-21-17_00|Follow Duras East|
QUEST_IKENI7_2016-01-25_08-47-07_00|A Good Start|
QUEST_PANKRATZI7_2015-04-22_12-37-12_00|Assimilating Foreign Property|
QUEST_PANKRATZI7_2015-09-24_11-17-52_00|Ready for Battle|
QUEST_IKENI7_2015-06-30_14-07-52_00|The Scrap Transport|
QUEST_PANKRATZI7_2015-10-08_08-53-27_00|Secretly|
QUEST_GARTMANNI3_2015-02-03_12-04-28_00|Danger Ahead|
QUEST_IKENI7_2015-03-30_11-42-17_00|Burgeoning Threat|
QUEST_WEIDMANNX6_2015-04-08_10-52-40_00|Looking for Work|
QUEST_IKENI7_2015-10-09_12-23-16_00|False Friends|
QUEST_PANKRATZI7_2015-11-24_13-47-14_00|On Behalf of W.|
QUEST_WEIDMANNX6_2015-09-09_14-02-40_00|Ignadon|
QUEST_IKENI7_2015-07-10_10-36-44_00|Deadly Charge|
QUEST_GARTMANNI3_2015-02-03_12-45-18_00|Electrical Technology for Falk|
QUEST_WEIDMANNX6_2016-01-27_14-22-17_00|Obediently Performing One's Duty|
QUEST_IKENI7_2016-01-08_11-03-54_00|Settling the Stomach|
QUEST_GARTMANNI3_2015-02-27_11-05-14_00|A Feast|
QUEST_IKENI7_2015-07-14_10-18-34_00|Death to the Pursuers|
QUEST_PANKRATZI7_2016-02-08_13-20-13_00|To the Last Man|
QUEST_IKENI7_2016-01-22_08-09-01_00|Dispute over Space|
QUEST_WEIDMANNX6_2015-03-20_11-28-17_00|The Reaver Leader|
QUEST_PANKRATZI7_2015-05-12_14-00-03_00|Mutant Siege|
QUEST_IKENI7_2015-06-09_13-00-28_00|Finally Together|
QUEST_PANKRATZI7_2015-02-20_16-46-42_00|A Dead Seedling|
QUEST_IKENI7_2015-04-09_09-53-00_00|The Contract Killer|
QUEST_GARTMANNI3_2017-03-10_10-39-26_00|Photos from the past|
QUEST_WEIDMANNX6_2015-01-15_12-00-32_00|Mutant Attack|
QUEST_IKENI7_2015-08-14_07-33-39_00|The Enemy Is Listening!|
QUEST_IKENI7_2015-03-02_09-16-18_00|Pleased Caldrim|
QUEST_PANKRATZI7_2015-12-16_15-42-50_00|Anomalies|
QUEST_PANKRATZI7_2015-12-16_15-42-20_00|Strength of Will|
QUEST_IKENI7_2015-10-27_08-42-35_00|Question of Faith|
QUEST_PANKRATZI7_2015-12-16_15-42-01_00|A Balancing Act|
QUEST_WEIDMANNX6_2015-03-25_14-19-39_00|Sounds in the Dark|
QUEST_PANKRATZI7_2015-04-22_12-13-44_00|High-tech Allies|
QUEST_PANKRATZI7_2015-04-22_12-13-15_00|Desert Vultures|
QUEST_WEIDMANNX6_2015-06-12_07-55-23_00|Road Toll|
QUEST_PANKRATZI7_2015-10-01_13-45-16_00|The Last Ingredient|
QUEST_IKENI7_2016-05-20_07-55-04_00|Marching to Freedom|
QUEST_PANKRATZI7_2015-11-06_13-43-35_00|A Half Defective Tin Can|
QUEST_WEIDMANNX6_2016-02-25_09-56-18_00|Xander's Sign|
QUEST_WEIDMANNX6_2016-02-25_09-56-09_00|Rat's Sign|
QUEST_WEIDMANNX6_2016-02-25_09-56-01_00|Katta's Sign|
QUEST_IKENI7_2015-11-16_12-25-23_00|Interception|
QUEST_IKENI7_2015-02-06_12-07-42_00|Thick and Fast|
QUEST_WEIDMANNX6_2015-03-26_09-23-05_00|Tavern Cellar|
QUEST_WEIDMANNX6_2015-04-16_13-05-58_00|Strange List|
QUEST_WEIDMANNX6_2015-07-07_10-18-27_00|Deal with the Outlaws|
QUEST_IKENI7_2016-03-14_14-57-54_00|A Strange Mechanism|
QUEST_PANKRATZI7_2016-02-11_07-45-26_00|Zardom Must Die|
QUEST_IKENI7_2015-03-24_07-26-04_00|The Missing Gear|
QUEST_PANKRATZI7_2015-02-10_14-57-41_00|Enter Tavar|
QUEST_IKENI7_2015-09-02_08-15-29_00|Mental Game|
QUEST_PANKRATZI7_2016-02-05_15-40-20_00|The Battle of Xacor|
QUEST_PANKRATZI7_2015-10-01_13-38-41_00|In the Darkness|
QUEST_PANKRATZI7_2016-01-25_13-01-59_00|Gray Cabbage|
QUEST_WEIDMANNX6_2015-04-16_12-05-12_00|Waiting on Rat|
QUEST_PANKRATZI7_2016-01-25_13-01-31_00|A Capable Healer|
QUEST_WEIDMANNX6_2015-02-09_11-51-00_00|The Way of the Clans|
QUEST_IKENI7_2015-03-17_09-03-40_00|Bad Payment|
QUEST_IKENI7_2015-03-17_09-03-00_00|Tavar|
QUEST_WEIDMANNX6_2015-01-19_09-55-58_00|Egil's Journey Home|
QUEST_WEIDMANNX6_2016-01-06_11-45-17_00|Cultivator Duties|
QUEST_PANKRATZI7_2015-11-24_13-57-54_00|Jackson, the Brain|
QUEST_IKENI7_2015-10-29_09-50-32_00|Request for Help|
QUEST_IKENI7_2015-01-23_09-00-43_00|Lost Guns and Dead Men|
QUEST_GARTMANNI3_2015-02-03_12-55-25_00|A Miniature Elex Battery|
QUEST_PANKRATZI7_2015-09-25_12-50-21_00|The Alb Army in Ignadon|
QUEST_PANKRATZI7_2015-09-25_12-50-01_00|Alb Central Position|
QUEST_WEIDMANNX6_2016-01-29_11-47-48_00|A Trader in Need|
QUEST_IKENI7_2016-02-01_13-51-58_00|Recruited Rider|
QUEST_IKENI7_2015-09-25_07-17-13_00|Matter of Negotiation|
QUEST_IKENI7_2016-01-09_08-10-13_00|Seeking Promotion|
QUEST_PANKRATZI7_2015-05-12_15-51-08_00|Kallax's Trap|
QUEST_IKENI7_2015-02-27_09-09-47_00|Killed Akira|
QUEST_WEIDMANNX6_2015-10-23_11-54-37_00|Hunters and Collectors|
QUEST_WEIDMANNX6_2015-06-05_13-51-56_00|Provisions Delivery|
QUEST_IKENI7_2015-04-10_12-02-52_00|The Scrap Baron Always Pays|
QUEST_WEIDMANNX6_2015-06-05_13-51-24_00|Medicine for the Hunters|
QUEST_IKENI7_2015-03-19_11-37-19_00|Healing Potions for Garald|
QUEST_WEIDMANNX6_2015-07-27_08-11-58_00|The Back Door|
QUEST_IKENI7_2016-06-15_10-42-21_00|Once More unto the Fort|
QUEST_IKENI7_2015-02-25_09-59-02_00|Paying Debts|
QUEST_IKENI7_2015-02-25_11-10-50_00|End of Shift|
QUEST_IKENI7_2016-01-13_11-14-49_00|A Broken Seal|
QUEST_IKENI7_2016-02-02_08-17-01_00|Defeat Galar|
QUEST_PANKRATZI7_2015-05-12_15-44-50_00|Family Meeting|
QUEST_GARTMANNI3_2015-02-19_12-00-01_00|Origin - The Power of the Center|
QUEST_WEIDMANNX6_2016-02-01_14-50-38_00|Heresy|
QUEST_PANKRATZI7_2015-02-09_14-07-13_00|Refuge of the Separatists|
QUEST_PANKRATZI7_2015-12-09_09-34-49_00|A Popular Man|
QUEST_PANKRATZI7_2015-02-23_13-53-22_00|The Judgment|
QUEST_PANKRATZI7_2015-10-01_13-55-49_00|Showdown with Kallax|
QUEST_WEIDMANNX6_2015-02-13_12-39-43_00|Missing Suppliers|
QUEST_WEIDMANNX6_2015-02-13_12-39-10_00|Food Supplies|
QUEST_WEIDMANNX6_2015-06-02_13-06-56_00|The Elex Thief|
QUEST_WEIDMANNX6_2015-06-02_13-06-29_00|Kral's Brother|
QUEST_WEIDMANNX6_2015-12-10_08-28-36_00|Exhibition Match|
QUEST_IKENI7_2015-01-30_10-35-09_00|Disappeared without a Trace|
QUEST_IKENI7_2015-03-11_09-09-27_00|A Weapon without a Master|
QUEST_IKENI7_2015-04-20_07-30-25_00|In Name of the Family|
QUEST_WEIDMANNX6_2015-02-16_14-05-52_00|Convinced Oran|
QUEST_IKENI7_2016-06-14_07-34-49_00|A Theft in Goliet|
QUEST_IKENI7_2015-01-16_11-20-41_00|Elex Supplies|
QUEST_WEIDMANNX6_2015-10-29_11-03-15_00|Furious Machines|
QUEST_IKENI7_2016-03-04_08-59-55_00|Departure to foreign lands|
